Enclosure,Plot,Year,X,Y,SheepDensity,Grazing,Vegetation,Habitat,Altitude,Aconitum septentrionale ,Agrostis capillaris ,Alchemilla alpina,Alchemilla sp.,Andromeda polifolia,Antennaria alpina,Antennaria dioica,Anthoxanthum odoratum,Arctostaphylos alpinus ,Arctostaphylos uva-ursi ,Astragalus alpinus ,Bartsia alpina,Betula nana,Betula pubescens,Bistorta vivipara,Botrychium lanceolatum,Botrychium lunaria ,Campanula rotundifolia,Carex atrata,Carex bigelowii,Carex brunnescens,Carex nigra,Carex sp.,Carex vaginata,Cerastium alpinum,Cerastium cerastoides ,Cerastium fontanum,Cerastium sp.,Cirsium helenioides,Coeloglossum viride,Corallhiza trifida,Crepis paludosa,Deschampsia cespitosa,Deschampsia flexuosa,Diphasiastrum alpinum ,Empetrum sp.,Epilobium anagallidifolium,Epilobium lactiflorum,Epilobium sp.,Equisetum pratense,Equisetum sylvaticum ,Eriophorum angustifolium,Eriophorum lachtiflorum,Eriophorum vaginatum ,Euphrasia frigida,Festuca ovina,Festuca rubra,Fragaria vesca,Gentiana nivalis,Geranium sylvaticum,Geum rivale,Gymnocarpium dryopteris,Hieracium alpinum,Hieracium pilosella,Hieracium sp.,Huperzia selago,Juncus filiformis,Juncus trifidus,Juniperus communis,Leontodon autumnalis,Listera cordata,Loiseleuria procumbens ,Lotus corniculatus,Luzula multiflora,Luzula pilosa,Luzula sp. ,Lycopodium annotioum,Lycopodium clavatum,Maianthemum bifolium,Melampyrum pratense,Melampyrum sylvaticum,Melampyrum sp.,Milium efusum,Molinia caerulea,Myosotis decumbens,Nardus stricta,Omalotheca norvegica,Omalotheca supina,Oxyria digyna,Parnassia palustris,Pedicularis lapponica ,Phleum alpinum,Phyllodoce careulea ,Pinguicula vulgaris,Poa alpina,Poa pratensis,Populus tremula,Potentilla crantzii,Potentilla erecta,Potentilla sp.,Prunella vulgaris,Pyrola minor,Pyrola rotundifolia,Pyrola sp.,Ranunculus acris,Ranunculus platanifolius,Rhinanthus minor ,Rubus chamaemorus,Rubus saxatilis,Rumex acetosa,Rumex acetosella,Sagina procumbens,Sagina saginoides,Salix glauca ,Salix herbacea,Salix lanata,Salix lapponum ,Salix reticulata,Salix sp.,Saussurea alpina,Selaginella selaginoides ,Sibbaldia procumbens ,Silene dioica,Solidago virgaurea,Stellaria borealis,Taraxacum sp.,Thalictrum alpinum ,Trichophorum cespitosum,Trientalis europeae,Vaccinium myrtillus,Vaccinium uliginosum,Vaccinium vitis-idaea ,Veronica alpina,Veronica fruticans,Veronica sp,Viola biflora,Viola palustris,Viola sp.,plhcm,vascov,crycov,Liccov,Bryocov,shrubcov,shrubcm,baresoil,rockcov,treecov,treecm,rodentsfre,asrodfre
a,A11,2001,441010,6729797,0,Control,Dwarf-shrub,Heathland,1171,0,0,0,0,0,0,0,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,12,0,0,0,0,0,0,10,65,50,45,5,0,0,5,0,0,0,NA,NA
a,A12,2001,441048,6729830,0,Control,Dwarf-shrub,Heathland,1178,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,6,0,0,0,0,0,0,12,80,35,25,10,0,0,10,0,0,0,NA,NA
a,A13,2001,441026,6729841,0,Control,Snowbed,Grassland,1176,0,0,8,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,6,0,0,0,0,0,0,2,6,1,0,0,0,0,0,1,0,3,75,60,15,45,0,0,10,0,0,0,NA,NA
a,A14,2001,441113,6729996,0,Control,Snowbed,Grassland,1184,0,0,11,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,7,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,5,0,0,0,5,16,0,0,0,0,0,5,0,8,80,60,10,50,0,0,10,0,0,0,NA,NA
a,A15,2001,441152,6729873,0,Control,Snowbed,Grassland,1164,0,0,1,0,0,0,0,16,0,0,0,0,4,0,14,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,9,2,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0,6,9,0,0,0,0,0,0,1,0,3,0,3,0,0,9,0,0,10,80,20,10,10,0,0,15,0,0,0,NA,NA
a,A16,2001,440914,6729711,0,Control,Snowbed,Grassland,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,15,70,80,3,77,0,0,5,5,0,0,NA,NA
a,A17,2001,441149,6730025,0,Control,Snowbed,Grassland,1188,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,0,10,65,50,15,35,0,0,15,0,0,0,NA,NA
a,A18,2001,440983,6730100,0,Control,Dwarf-shrub,Heathland,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,3,30,90,90,0,0,0,5,0,0,0,NA,NA
a,A19,2001,440958,6729828,0,Control,Dwarf-shrub,Heathland,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,9,12,15,12,0,0,0,0,0,0,10,70,60,30,30,0,0,10,0,0,0,NA,NA
a,A20,2001,441000,6729878,0,Control,Lichen-ridge,Heathland,1206,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,10,80,70,70,0,0,0,5,0,0,0,NA,NA
