Alfabetisk,Systematisk,Familie,Levevis,Føde,Artsdatabanken 2017,Habitat,Artsdatabanken 2017,Artsdatabanken 2017,LatinskNavnID,TaksonID,,arter 2015,arter 2003,Slekter 2009,artsepitet 2009,Alfabetisk,Alle arter
1,23,Leiodidae (mycelbiller),fungivore,,Agathidium arcticum,,"Agathidium arcticum Thomson, 1862",,11175,11066,,,Agathidium sp.arcticum?per3,Agathidium, sp.arcticum,1,Agathidium arcticum
2,3,Carabidae (løpebiller),herbivore + carnivore,plantefrø (ukjent hvilke),Amara alpina,,"Amara alpina (Paykull, 1790)",,5624,5515,,Amara alpina,Almora alpina,Amara,alpina,2,Amara alpina
3,4,Carabidae (løpebiller),herbivore + carnivore,plantefrø (ukjent hvilke),Amara brunnea,,"Amara brunnea (Gyllenhal, 1810)",,5629,5520,,Amara brunnea,Amara brunnea,Amara,brunnea,3,Amara brunnea
4,5,Carabidae (løpebiller),herbivore + carnivore,plantefrø (ukjent hvilke),Amara lunicollis,,"Amara lunicollis Schiödte, 1837",,5652,5543,,Amara lunicollis,,,,4,Amara lunicollis
5,6,Carabidae (løpebiller),herbivore + carnivore,plantefrø (ukjent hvilke),Amara praetermissa,,"Amara praetermissa (C.R. Sahlberg, 1827)",,5660,5551,,,Amara praetermissa,Amara,praetermissa,5,Amara praetermissa
6,30,Staphylinidae (kortvinger),carnivore,,Anthophagus alpinus,,"Anthophagus alpinus (Paykull, 1790)",,12236,12127,,Anthophagus alpinus,,,,6,Anthophagus alpinus
7,42,Scarbaeidae (skarabider),coprophile,,Aphodius depressus,,"Aphodius depressus (Kugelann, 1792)",flatgjødselbille,10613,10504,,,Aphodius depressus,Aphodius,depressus,7,Aphodius depressus
8,43,Scarbaeidae (skarabider),coprophile,,Aphodius lapponum,,"Aphodius lapponum Gyllenhal, 1808",fjellgjødselbille,10626,10517,,Agoliinus lapponum,Afonius laponun,Aphodius, lapponum,8,Aphodius lapponum
9,58,Apionidae (spissnutebiller),herbivore,Rumex spp.,Apion cruentatum,,"Apion cruentatum Walton, 1844",,8220,8111,,,Apion cruentatum,Apion,cruentatum,9,Apion cruentatum
10,31,Staphylinidae (kortvinger),carnivore,,Arpedium quadrum,,"Arpedium quadrum (Gravenhorst, 1806)",,12241,12132,,Arpedium quadrum,,,,10,Arpedium quadrum
11,44,Byrrhidae (pillebiller),herbivore,mose,Byrrhus arietinus,,"Byrrhus arietinus Steffahny, 1843",,10036,9927,,Byrrhus arietinus,Byrrhus arietinus,Byrrhus,arietinus,11,Byrrhus arietinus
12,45,Byrrhidae (pillebiller),herbivore,mose,Byrrhus fasciatus,,"Byrrhus fasciatus (Forster, 1771)",,10037,9928,,Byrrhus fasciatus,Byrrhus fasciatus,Byrrhus,fasciatus,12,Byrrhus fasciatus
13,46,Byrrhidae (pillebiller),herbivore,mose,Byrrhus pilula,,"Byrrhus pilula (Linnaeus, 1758)",,10038,9929,,,Byrrhus pilula,Byrrhus,pilula,13,Byrrhus pilula
14,,,,,Byrrhus sp_,,,,,,,,,,,14,Byrrhus sp_
15,7,Carabidae (løpebiller),carnivore,,Calathus melanocephalus,,"Calathus melanocephalus (Linnaeus, 1758)",,5604,5495,,Calathus melanocephalus,Calathus melanocephalus,Calathus,melanocephalus,15,Calathus melanocephalus
16,8,Carabidae (løpebiller),carnivore,,Calathus micropterus,,"Calathus micropterus (Duftschmid, 1812)",,5605,5496,,Calathus micropterus,,,,16,Calathus micropterus
17,9,Carabidae (løpebiller),carnivore,,Carabus glabratus,,"Carabus glabratus Paykull, 1790",,5306,5197,,Carabus glabratus,Carabus glabratus,Carabus,glabratus,17,Carabus glabratus
18,10,Carabidae (løpebiller),carnivore,,Carabus problematicus,,"Carabus problematicus Herbst, 1786",,5314,5205,,Carabus problematicus,Carabus problematicus,Carabus,problematicus,18,Carabus problematicus
19,11,Carabidae (løpebiller),carnivore,,Carabus violaceus,,"Carabus violaceus Linnaeus, 1758",,5317,5208,,Carabus violaceus,Carabus violaceus,Carabus,violaceus,19,Carabus violaceus
20,24,Leiodidae (mycelbiller),necrophile (fungivore?),,Catops alpinus,,"Catops alpinus Gyllenhal, 1827",,11099,10990,,Catops alpina,Catops alpina,Catops,alpina,20,Catops alpinus
21,,,,,Catops longulus,,,,,,,,,,,21,Catops longulus
22,25,Leiodidae (mycelbiller),necrophile (fungivore?),,Catops nigricans,,"Catops nigricans (Spence, 1815)",,11111,11002,,,Catops nigricans,Catops,nigricans,22,Catops nigricans
23,26,Leiodidae (mycelbiller),necrophile (fungivore?),,Catops nigrita,,"Catops nigrita Erichson, 1837",,11113,11004,,Catops nigrita,,,,23,Catops nigrita
24,27,Leiodidae (mycelbiller),necrophile (fungivore?),,Catops tristis,,"Catops tristis (Panzer, 1793)",,11116,11007,,Catops tristis,Catops tristis,Catops,tristis,24,Catops tristis
25,28,Leiodidae (mycelbiller),necrophile (fungivore?),,Choleva lederiana,,"Choleva lederiana Reitter, 1902",,11126,11017,,,Choleva lederiana,Choleva,lederiana,25,Choleva lederiana
26,55,Chrysomelidae (bladbiller),herbivore,"Salix spp., ofte S. herbacea",Chrysomela collaris,,"Chrysomela collaris Linnaeus, 1758",,6996,6887,,Chrysomela collaris,CHRYSOMELA [Melasoma] collarIS,Chrysomela,collaris,26,Chrysomela collaris
27,54,Coccinellidae (marihøner),carnivore,,Coccinella trifasciata,,"Coccinella trifasciata Linnaeus, 1758",fjellmarihøne,7465,7356,,,Coccinella trifasciata,Coccinella, trifasciata,27,Coccinella trifasciata
28,53,Cryptophagidae (fuktbiller),fungivore,,Cryptophagus setulosus,,"Cryptophagus setulosus Sturm, 1845",,7705,7596,,Cryptophagus setulosus,Cryptophagus setulosus,Cryptophagus,setulosus,28,Cryptophagus setulosus
