Alfabetisk,Systematisk,Familie,Levevis,Føde,Artsdatabanken 2017,Habitat,Artsdatabanken 2017,Artsdatabanken 2017,LatinskNavnID,TaksonID,,arter 2015,arter 2003,Slekter 2009,artsepitet 2009,Alfabetisk,Alle arter
29,12,Carabidae (løpebiller),carnivore,,Cychrus caraboides,,"Cychrus caraboides (Linnaeus, 1758)",,5320,5211,,Cychrus caraboides,Cychras caraboides,Cychrus,caraboides,29,Cychrus caraboides
30,13,Carabidae (løpebiller),carnivore,,Cymindis vaporariorum,,"Cymindis vaporariorum (Linnaeus, 1758)",,5456,5347,,Cymindis vaporariorum,Cymindis vaporariorum,Cymindis,vaporariorum,30,Cymindis vaporariorum
31,14,Carabidae (løpebiller),carnivore,,Elaphrus lapponicus,,"Elaphrus lapponicus Gyllenhal, 1810",,5343,5234,,,,Elaphrus,lapponicus,31,Elaphrus lapponicus
32,,,,,Epuraea sp.,,,,,,,,,,,32,Epuraea sp.
33,32,Staphylinidae (kortvinger),carnivore,,Eucnecosum brachypterum,,"Eucnecosum brachypterum (Gravenhorst, 1802)",,12250,12141,,Eucnecosum brachypterum,,,,33,Eucnecosum brachypterum
34,33,Staphylinidae (kortvinger),carnivore,,Eucnecosum tenue,,"Eucnecosum tenue (LeConte, 1863)",,12253,12144,,Eucnecosum tenue,,,,34,Eucnecosum tenue
35,56,Chrysomelidae (bladbiller),herbivore,"Salix spp., ofte S. herbacea",Gonioctena arctica,,"Gonioctena arctica Mannerheim, 1853",,7011,6902,,Gonioctena arctica,Gonictena arctica,Gonioctena,arctica,35,Gonioctena arctica
36,57,Chrysomelidae (bladbiller),herbivore,Salix spp.,Gonioctena pallida,,"Gonioctena pallida (Linnaeus, 1758)",heggebladbille,7018,6909,,Gonioctena pallida,Gonioctena pallida,Gonioctena,pallida,36,Gonioctena pallida
37,,,,,Helophorus flavipes,,,,,,,,,,,37,Helophorus flavipes
38,2,Hydrophilidae (vannkjær),detrivore (ikke carnivore),,Helophorus glacialis,,"Helophorus glacialis Villa, 1833",,10917,10808,,Helophorus glacialis,Halophorus glacialis,Helophorus,glacialis,38,Helophorus glacialis
39,,,,,Helophorus sp_,,,,,,,,,,,39,Helophorus sp_
40,59,Curculionidae (snutebiller),herbivore,Picea og Pinus,Hylobius abietis,,"Hylobius abietis (Linnaeus, 1758)",gransnutebille,9100,8991,,Hylobius abietis,,,,40,Hylobius abietis
41,49,Elateridae (smellere),carnivore (ikke herbivore),,Hypnoidus riparius,,"Hypnoidus riparius (Fabricius, 1792)",jordsmeller,10391,10282,,,,Hypnoidus,riparius,41,Hypnoidus riparius
42,50,Elateridae (smellere),carnivore (ikke herbivore),,Hypnoidus rivularius,,"Hypnoidus rivularius (Gyllenhal, 1808)",heismeller,10392,10283,,Hypnoidus rivularius,Hypnoides rivularius,Hypnoidus,rivularius,42,Hypnoidus rivularius
43,1,Dytiscidae (vannkalver),carnivore,,Ilybius subaeneus,,"Ilybius subaeneus Erichson, 1837",,5908,5799,,,Ilybius subaeneus,Ilybius,subaeneus,43,Ilybius subaeneus
44,,,,,INDET Leistus sp_ Hårete,,,,,,,,,,,44,INDET Leistus sp_ Hårete
45,15,Carabidae (løpebiller),carnivore,,Leistus ferrugineus,,"Leistus ferrugineus (Linnaeus, 1758)",,5678,5569,,Leistus ferrugineus,,,,45,Leistus ferrugineus
46,16,Carabidae (løpebiller),carnivore,,Leistus terminatus,,"Leistus terminatus (Panzer, 1793)",,5681,5572,,,Leistus terminatus,,,46,Leistus terminatus
47,60,Curculionidae (snutebiller),herbivore,"Salix spp., ofte S. herbacea",Lepyrus quadrinotatus,,"Lepyrus quadrinotatus (Boheman, 1842)",,137113,94964,,,,Lepyrus, arcticus,47,Lepyrus quadrinotatus
48,34,Staphylinidae (kortvinger),carnivore,,Liogluta micans,,"Liogluta micans (Mulsant & Rey, 1852)",,11797,11688,,Liogluta micans,,,,48,Liogluta micans
49,51,Elateridae (smellere),carnivore (ikke herbivore),,Liotrichus affinis,,"Liotrichus affinis (Paykull, 1800)",bjørkesmeller,10281,10172,,Liotrichus affinis,Liotrychus affines,Liotrichus,affinis,49,Liotrichus affinis
50,17,Carabidae (løpebiller),carnivore,,Loricera pilicornis,,"Loricera pilicornis (Fabricius, 1775)",,5674,5565,,,Loricera piliocornis,Loricera,piliocornis,50,Loricera pilicornis
51,18,Carabidae (løpebiller),carnivore,,Miscodera arctica,,"Miscodera arctica (Paykull, 1798)",,5287,5178,,Miscodera arctica,Miscodera artica,Miscodera,arctica,51,Miscodera arctica
52,29,Silphidae (åtselbiller),necrophore,,Nicrophorus vespilloides,,"Nicrophorus vespilloides Herbst, 1783",,11451,11342,,Nicrophorus vespilloides,,,,52,Nicrophorus vespilloides
53,19,Carabidae (løpebiller),carnivore,,Notiophilus aquaticus,,"Notiophilus aquaticus (Linnaeus, 1758)",,5691,5582,,Notiophilus aquaticus,Notiophilus aquaticus,Notiophilus,aquaticus,53,Notiophilus aquaticus
54,20,Carabidae (løpebiller),carnivore,,Notiophilus germinyi,,"Notiophilus germinyi Fauvel, 1863",,5693,5584,,Notiophilus germinyi,Notiophilus germenii,Notiophilus,germinyi,54,Notiophilus germinyi
55,35,Staphylinidae (kortvinger),carnivore,,Olophrum assimile,,"Olophrum assimile (Paykull, 1800)",,12271,12162,,Olophrum assimile,,,,55,Olophrum assimile
56,36,Staphylinidae (kortvinger),carnivore,,Omalium caesum,,"Omalium caesum Gravenhorst, 1806",,12322,12213,,Omalium caesum,,,,56,Omalium caesum
57,61,Curculionidae (snutebiller),herbivore,planterøtter (trolig mange arter),Otiorhynchus nodosus,,"Otiorhynchus nodosus (Müller, 1764)",stor jordbærrotsnutebille,8868,8759,,Otiorhychus nodosus,Otiorynchus nodosus,Otiorhychus,nodosus,57,Otiorhynchus nodosus
58,21,Carabidae (løpebiller),carnivore,,Patrobus assimilis,,"Patrobus assimilis Chaudoir, 1844",,5831,5722,,Patrobus assimilis,Patrobus assimilis,Patrobus,assimilis,58,Patrobus assimilis
59,,,,,Patrobus atrorufus,,,,,,,,,,,59,Patrobus atrorufus
60,22,Carabidae (løpebiller),carnivore,,Patrobus septentrionis,,"Patrobus septentrionis Dejean, 1828",,5834,5725,,Patrobus septentrionis,Patrobus ceptentronis,Patrobus,septentronis,60,Patrobus septentrionis
61,37,Staphylinidae (kortvinger),carnivore,,Philonthus marginatus,,"Philonthus marginatus (O. Müller, 1764)",,12860,12751,,Philonthus marginatus,,,,61,Philonthus marginatus
62,47,Cantharidae (bløtvinger),carnivore,,Podabrus alpinus,,"Podabrus alpinus (Paykull, 1798)",,10192,10083,,,Podabrus alpinus,Podabrus,alpinus,62,Podabrus alpinus
63,48,Cantharidae (bløtvinger),carnivore,,Podistra schoenherri,,"Podistra schoenherri (Dejean, 1837)",,10176,10067,,Podistra schoenherri,Absidia schoenherri,Absidia,schoenherri,63,Podistra schoenherri
64,62,Curculionidae (snutebiller),herbivore,Betula spp.,Polydrusus fulvicornis,,"Polydrusus fulvicornis (Fabricius, 1792)",,8916,8807,,,Polydrusus ruficornis,Polydrusus,ruficornis,64,Polydrusus fulvicornis
65,63,Curculionidae (snutebiller),herbivore,Betula spp.,Polydrusus tereticollis,,"Polydrusus tereticollis (De Geer, 1775)",,137145,94989,,,,Polydrusus,undatum,65,Polydrusus tereticollis
66,,,,,Quedius,,,,,,,,,,,66,Quedius
67,38,Staphylinidae (kortvinger),carnivore,,Quedius molochinus,,"Quedius molochinus (Gravenhorst, 1806)",,12922,12813,,Quedius molochinus,,,,67,Quedius molochinus
68,,,,,Rhagonycha elongata,,,,,,,,,,,68,Rhagonycha elongata
69,,,,,Rhagonycha testacea,,,,,,,,,,,69,Rhagonycha testacea
70,52,Elateridae (smellere),carnivore (ikke herbivore),,Sericus brunneus,,"Sericus brunneus (Linnaeus, 1758)",brunsmeller,10381,10272,,Sericus brunneus,,,,70,Sericus brunneus
71,39,Staphylinidae (kortvinger),carnivore,,Tachinus elongatus,,"Tachinus elongatus Gyllenhal, 1810",,13195,13086,,Tachinus elongatus,,,,71,Tachinus elongatus
72,40,Staphylinidae (kortvinger),carnivore,,Tachinus pallipes,,"Tachinus pallipes (Gravenhorst, 1806)",,13202,13093,,Tachinus pallipes,,,,72,Tachinus pallipes
73,41,Staphylinidae (kortvinger),carnivore,,Tachinus proximus,,"Tachinus proximus Kraatz, 1855",,13203,13094,,Tachinus proximus,,,,73,Tachinus proximus
,,,,,,,,,,,,,,Leistus,terminatus/ferrugeneus,,
,,,,,,,,,,,,,Byrrhus sp.,Byrrhus,sp.,,
,,,,,,,,,,,,,Helophorus sp.,Helophorus,sp.,,
,,,,,,,,,,,,,INDET Leistus sp. Hårete,,,,
,,,,,,,,,,,,,Quedius,Quedius,sp. Kortvingeslekt,,
